date,display_date,description,link,series,html
Mon Apr 04 19:58:51 +0000 2011,Mon Apr 04 19:58:51 +0000 2011,"“Before you finish eating breakfast in the morning, you’ve depended on more than half the world.” « Prickly Goo - http://goo.gl/T5mvj",http://twitter.com/paulmwatson/status/54996371291381760,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 19:38:54 +0000 2011,Mon Apr 04 19:38:54 +0000 2011,@elliottucker nerding out with TimelineSetter. You?,http://twitter.com/paulmwatson/status/54991349623177216,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 19:19:39 +0000 2011,Mon Apr 04 19:19:39 +0000 2011,"@tonyjbyrne it does, thanks :)",http://twitter.com/paulmwatson/status/54986505151725569,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 19:17:01 +0000 2011,Mon Apr 04 19:17:01 +0000 2011,"@tonyjbyrne thanks Tony, I'll have to buy a FireWire cable tomorrow",http://twitter.com/paulmwatson/status/54985843106000896,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:59:42 +0000 2011,Mon Apr 04 18:59:42 +0000 2011,"@ferguskelly yeah, lot more borked than that I think :( Will try FireWire tomorrow",http://twitter.com/paulmwatson/status/54981485932982272,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:58:53 +0000 2011,Mon Apr 04 18:58:53 +0000 2011,"emacs, pipes, grep, all in Tron Legacy http://goo.gl/YSDEP",http://twitter.com/paulmwatson/status/54981279015387137,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:45:01 +0000 2011,Mon Apr 04 18:45:01 +0000 2011,"Cricket needs an alternative world wide organisation to supplant the ICC. WPL, World Premier League.",http://twitter.com/paulmwatson/status/54977792957358080,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:41:13 +0000 2011,Mon Apr 04 18:41:13 +0000 2011,@ferguskelly :) thanks though. I need to get a FireWire cable tomorrow.,http://twitter.com/paulmwatson/status/54976836802846720,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:28:36 +0000 2011,Mon Apr 04 18:28:36 +0000 2011,"@demosuzki no doubt but very few of the people I work with have FireWire devices, mainly USB devices",http://twitter.com/paulmwatson/status/54973659579826177,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:25:56 +0000 2011,Mon Apr 04 18:25:56 +0000 2011,"@demosuzki hmm actually, MB might have firewire, never used it myself. No cable though.",http://twitter.com/paulmwatson/status/54972988579258368,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:25:07 +0000 2011,Mon Apr 04 18:25:07 +0000 2011,@demosuzki no FireWire in original white-plastic MacBook. I don't even own a FireWire cable. USB doesn't do Target Disk Mode :(,http://twitter.com/paulmwatson/status/54972781955260416,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:22:52 +0000 2011,Mon Apr 04 18:22:52 +0000 2011,@derektroy not at home no :),http://twitter.com/paulmwatson/status/54972217351606272,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:21:20 +0000 2011,Mon Apr 04 18:21:20 +0000 2011,@derektroy and then?,http://twitter.com/paulmwatson/status/54971832159318016,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 18:19:22 +0000 2011,Mon Apr 04 18:19:22 +0000 2011,"@FinolaHoward no twitter, no email, no phones, no interruptions. It is refreshing alright.",http://twitter.com/paulmwatson/status/54971337676046336,paulmwatson,"<img src=""http://a1.twimg.com/profile_images/1287605116/eightbit-c20fbe69-0eed-4483-b38c-11e4afc32578_normal.png"" />"
Mon Apr 04 20:10:03 +0000 2011,Mon Apr 04 20:10:03 +0000 2011,"RT @TheDivifilio: Google said Monday it is bidding $900 million on the patent portfolio of Nortel, http://ow.ly/4sQFn",http://twitter.com/theolynn/status/54999188643123202,theolynn,"<img src=""http://a1.twimg.com/profile_images/1255878495/theolynn_normal.jpg"" />"
Mon Apr 04 19:50:02 +0000 2011,Mon Apr 04 19:50:02 +0000 2011,"RT @Montberte: Ideas are like rabbits. You get a couple and learn how to handle them, and pretty soon you have a dozen.  Jonh Steinbeck",http://twitter.com/theolynn/status/54994152554897408,theolynn,"<img src=""http://a1.twimg.com/profile_images/1255878495/theolynn_normal.jpg"" />"
Mon Apr 04 19:33:52 +0000 2011,Mon Apr 04 19:33:52 +0000 2011,some good advice on international #seo on the @techspectations twitterfeed - thanks @mcanerin,http://twitter.com/theolynn/status/54990085346697216,theolynn,"<img src=""http://a1.twimg.com/profile_images/1255878495/theolynn_normal.jpg"" />"
